#  idx        bstate_id    orig_label         basin  foldFr  margin  rmsdGlob  rmsdStem  rmsdLoop   mindist  Qstem_s  Qloop_s  nBP     chiG9       Rg    d_e2e
    43  intermediate_34  intermediate    transition   0.933   0.867    1.5194    1.4216    0.5356    5.8727   0.5937   0.8184    4    51.059  10.0558  13.0187
    44  intermediate_35  intermediate    transition   0.747   0.494    3.2482    3.6468    0.6955   14.7867   0.5820   0.7527    4    84.021  10.4846  26.0591
    45  intermediate_36  intermediate   folded_side   0.909   0.819    1.0565    1.1077    0.4082    1.7938   0.7617   0.8172    5    55.034  10.0210   9.8935
    46  intermediate_37  intermediate    transition   0.753   0.505    3.4780    3.9896    0.5775   11.4901   0.4298   0.7990    3    62.117  10.3384  17.0121
    47  intermediate_38  intermediate   folded_side   0.913   0.826    1.4723    1.1771    0.4353    1.6854   0.7537   0.8197    5    78.462   9.8038   9.6655
    48  intermediate_39  intermediate   folded_side   0.894   0.788    1.4360    1.4463    0.4062    1.9647   0.6009   0.7800    4    64.337   9.9262   5.4610
    49  intermediate_40  intermediate   folded_side   0.914   0.827    1.6747    1.4979    0.5277    1.8231   0.7462   0.7673    5    69.520   9.5689   9.9277
    50  intermediate_41  intermediate   folded_side   0.893   0.787    1.9215    1.4894    0.7610    2.2619   0.5703   0.7138    4    44.154   9.8621   5.9828
    51  intermediate_42  intermediate unfolded_side   0.242  -0.517    8.7901    9.7051    0.7365   30.7140   0.2258   0.7615    1    83.329  11.7516  38.5129
    52  intermediate_43  intermediate unfolded_side   0.167  -0.665    9.1552   10.3244    0.6179   32.9837   0.2126   0.8227    1    77.451  12.8769  44.0101
    53  intermediate_44  intermediate    transition   0.365  -0.269    6.5328    7.4552    0.5555   22.0384   0.2346   0.8209    1    88.532  12.5349  25.6013
    54  intermediate_45  intermediate    transition   0.813   0.626    2.1659    2.3156    0.9471    3.5630   0.4300   0.5687    3    34.476   9.9874   6.1406
    55  intermediate_46  intermediate unfolded_side   0.147  -0.706    9.6877   10.6976    0.7627   25.6924   0.1571   0.7010    1    74.477  12.9034  39.8949
    56  intermediate_47  intermediate unfolded_side   0.121  -0.758   10.2553   11.4916    0.4173   32.9754   0.2136   0.7545    1    72.170  13.3305  41.5191
    57  intermediate_48  intermediate unfolded_side   0.111  -0.779    9.9919   10.6527    0.4492   30.0965   0.1567   0.7928    1    76.122  13.2421  39.7837
    58  intermediate_49  intermediate unfolded_side   0.126  -0.749    9.0248   10.2036    0.6891   30.5907   0.0061   0.8118    0   106.600  13.1599  35.8447
    59  intermediate_50  intermediate unfolded_side   0.122  -0.755   11.9176   13.1404    0.6591   36.3652   0.0020   0.7795    0    67.313  13.8451  46.3624
    60      unfolded_01      unfolded unfolded_side   0.190  -0.620   14.9153   14.6118    4.3301   41.8611   0.0000   0.2005    0    38.563  14.7517  45.1274
    61      unfolded_02      unfolded unfolded_side   0.091  -0.818   12.4281   13.0622    3.4100   28.5977   0.0002   0.0491    0    25.366  13.8243  42.2926
    62      unfolded_03      unfolded unfolded_side   0.075  -0.849   12.0147   11.7304    4.2672   28.6109   0.0002   0.0561    0    38.033  13.4870  35.2176
    63      unfolded_04      unfolded unfolded_side   0.126  -0.747   12.8264   13.2555    4.6913   34.8144   0.0001   0.0331    0    38.319  14.5083  40.8283
    64      unfolded_05      unfolded unfolded_side   0.127  -0.747   13.4311   12.9357    3.9232   23.9730   0.0001   0.1998    0    48.865  13.9341  37.9317
    65      unfolded_06      unfolded unfolded_side   0.166  -0.667   11.6204   11.6628    3.6498   28.5515   0.0001   0.0286    0    39.228  12.1505  31.3447
    66      unfolded_07      unfolded unfolded_side   0.113  -0.773   13.4587   13.3521    4.5051   28.3290   0.0000   0.0032    0    51.790  14.0672  37.7449
    67      unfolded_08      unfolded unfolded_side   0.114  -0.772   13.5903   13.3118    4.1915   33.4584   0.0000   0.0063    0    37.927  14.0540  37.5906
    68      unfolded_09      unfolded unfolded_side   0.091  -0.819   13.2268   12.2761    4.3051   32.9189   0.0000   0.0232    0    39.580  13.8011  41.1507
    69      unfolded_10      unfolded unfolded_side   0.077  -0.845   12.8688   11.8619    4.5265   28.6730   0.0000   0.0104    0    32.855  13.6590  40.3549
