struct_index,bstate_id,orig_label,basin,fold_frac,margin,rmsd_global,rmsd_stem,rmsd_loop,mindist,Q_stem_sig,Q_loop_sig,Q_stem_hard,Q_loop_hard,n_stem_bp,loop_contact_count,chi_G9,g9_syn,rog,d_e2e
31,intermediate_22,intermediate,transition,0.8026,0.6052,3.6409,3.7618,0.9849,11.2743,0.5855,0.7651,0.7857,1.0000,4.0000,4.0000,77.7540,1.0000,9.5415,22.5483
32,intermediate_23,intermediate,folded_side,0.9141,0.8282,1.1321,1.0385,0.6087,1.8899,0.7319,0.7936,1.0000,1.0000,5.0000,4.0000,74.4795,1.0000,10.1420,9.6539
33,intermediate_24,intermediate,folded_side,0.9119,0.8239,1.3201,1.1279,0.6634,1.7986,0.7559,0.7723,1.0000,1.0000,5.0000,4.0000,100.4165,1.0000,10.1001,9.7421
34,intermediate_25,intermediate,folded_side,0.9168,0.8337,1.3563,1.0728,0.7083,1.8972,0.7424,0.7364,1.0000,1.0000,5.0000,4.0000,54.0194,1.0000,9.9508,9.8906
35,intermediate_26,intermediate,folded_side,0.9060,0.8121,1.1209,0.9935,0.8264,1.8455,0.7715,0.6126,1.0000,0.7500,5.0000,3.0000,62.3670,1.0000,10.0870,9.8270
36,intermediate_27,intermediate,transition,0.7847,0.5694,3.4389,3.7365,0.5047,11.6988,0.5888,0.7665,0.7857,1.0000,4.0000,4.0000,74.0609,1.0000,10.0479,24.7245
37,intermediate_28,intermediate,transition,0.7719,0.5439,3.7398,4.2583,0.4664,7.4047,0.4302,0.7487,0.5714,1.0000,3.0000,4.0000,50.5093,1.0000,10.0424,16.3258
38,intermediate_29,intermediate,transition,0.8756,0.7512,2.4243,2.5525,0.4337,7.1104,0.5853,0.7691,0.7857,1.0000,4.0000,4.0000,56.9387,1.0000,10.2952,19.2642
39,intermediate_30,intermediate,transition,0.8042,0.6083,3.1589,3.4049,0.5141,10.9638,0.5820,0.7200,0.7857,1.0000,4.0000,4.0000,84.3202,1.0000,10.0971,23.5587
40,intermediate_31,intermediate,folded_side,0.9143,0.8286,1.5624,1.4401,0.4849,1.8483,0.7603,0.7849,1.0000,1.0000,5.0000,4.0000,64.9035,1.0000,9.7691,9.8375
41,intermediate_32,intermediate,transition,0.8083,0.6165,3.1712,3.4035,0.3890,10.6121,0.5613,0.7764,0.7857,1.0000,4.0000,4.0000,74.0581,1.0000,9.8815,23.1195
42,intermediate_33,intermediate,transition,0.8168,0.6336,3.0065,3.2848,0.5511,10.4627,0.5866,0.7886,0.7857,1.0000,4.0000,4.0000,70.4904,1.0000,10.3592,22.2354
43,intermediate_34,intermediate,transition,0.9334,0.8668,1.5194,1.4216,0.5356,5.8727,0.5937,0.8184,0.7857,1.0000,4.0000,4.0000,51.0588,1.0000,10.0558,13.0187
44,intermediate_35,intermediate,transition,0.7471,0.4942,3.2482,3.6468,0.6955,14.7867,0.5820,0.7527,0.7857,1.0000,4.0000,4.0000,84.0206,1.0000,10.4846,26.0591
45,intermediate_36,intermediate,folded_side,0.9095,0.8190,1.0565,1.1077,0.4082,1.7938,0.7617,0.8172,1.0000,1.0000,5.0000,4.0000,55.0342,1.0000,10.0210,9.8935
46,intermediate_37,intermediate,transition,0.7525,0.5051,3.4780,3.9896,0.5775,11.4901,0.4298,0.7990,0.5714,1.0000,3.0000,4.0000,62.1166,1.0000,10.3384,17.0121
47,intermediate_38,intermediate,folded_side,0.9132,0.8263,1.4723,1.1771,0.4353,1.6854,0.7537,0.8197,1.0000,1.0000,5.0000,4.0000,78.4618,1.0000,9.8038,9.6655
48,intermediate_39,intermediate,folded_side,0.8941,0.7881,1.4360,1.4463,0.4062,1.9647,0.6009,0.7800,0.7857,1.0000,4.0000,4.0000,64.3373,1.0000,9.9262,5.4610
49,intermediate_40,intermediate,folded_side,0.9135,0.8271,1.6747,1.4979,0.5277,1.8231,0.7462,0.7673,1.0000,1.0000,5.0000,4.0000,69.5203,1.0000,9.5689,9.9277
50,intermediate_41,intermediate,folded_side,0.8933,0.7867,1.9215,1.4894,0.7610,2.2619,0.5703,0.7138,0.7857,1.0000,4.0000,4.0000,44.1540,1.0000,9.8621,5.9828
51,intermediate_42,intermediate,unfolded_side,0.2417,-0.5166,8.7901,9.7051,0.7365,30.7140,0.2258,0.7615,0.2857,1.0000,1.0000,4.0000,83.3293,1.0000,11.7516,38.5129
52,intermediate_43,intermediate,unfolded_side,0.1673,-0.6655,9.1552,10.3244,0.6179,32.9837,0.2126,0.8227,0.2857,1.0000,1.0000,4.0000,77.4508,1.0000,12.8769,44.0101
